,0
20130429,94.0
20130430,94.0
20130501,94.0
20130502,94.0
20130503,94.0
20130504,94.0
20130505,94.0
20130506,94.0
20130507,94.0
20130508,94.0
20130509,94.0
20130510,94.0
20130511,94.0
20130512,94.0
20130513,94.0
20130514,94.0
20130515,94.0
20130516,94.0
20130517,94.0
20130518,94.0
20130519,94.0
20130520,94.0
20130521,94.0
20130522,94.0
20130523,94.0
20130524,94.0
20130525,94.0
20130526,94.0
20130527,94.0
20130528,94.0
20130529,94.0
20130530,94.0
20130531,94.0
20130601,94.0
20130602,94.0
20130603,94.0
20130604,94.0
20130605,94.0
20130606,94.0
20130607,94.0
20130608,94.0
20130609,88.0
20130610,88.0
20130611,88.0
20130612,88.0
20130613,88.0
20130614,82.0
20130615,82.0
20130616,82.0
20130617,82.0
20130618,82.0
20130619,82.0
20130620,82.0
20130621,82.0
20130622,82.0
20130623,82.0
20130624,82.0
20130625,82.0
20130626,82.0
20130627,82.0
20130628,82.0
20130629,82.0
20130630,82.0
20130701,84.0
20130702,84.0
20130703,84.0
20130704,72.0
20130705,72.0
20130706,74.0
20130707,66.0
20130708,66.0
20130709,68.0
20130710,68.0
20130711,66.0
20130712,68.0
20130713,68.0
20130714,68.0
20130715,64.0
20130716,64.0
20130717,64.0
20130718,62.0
20130719,62.0
20130720,62.0
20130721,62.0
20130722,64.0
20130723,62.0
20130724,70.0
20130725,60.0
20130726,60.0
20130727,60.0
20130728,90.0
20130729,90.0
20130730,90.0
20130731,90.0
20130801,84.0
20130802,84.0
20130803,84.0
20130804,84.0
20130805,84.0
20130806,78.0
20130807,78.0
20130808,74.0
20130809,76.0
20130810,76.0
20130811,76.0
20130812,76.0
20130813,78.0
20130814,76.0
20130815,76.0
20130816,82.0
20130817,76.0
20130818,74.0
20130819,74.0
20130820,72.0
20130821,72.0
20130822,74.0
20130823,74.0
20130824,74.0
20130825,76.0
20130826,74.0
20130827,72.0
20130828,74.0
20130829,76.0
20130830,76.0
20130831,74.0
20130901,76.0
20130902,76.0
20130903,78.0
20130904,78.0
20130905,78.0
20130906,76.0
20130907,70.0
20130908,70.0
20130909,72.0
20130910,72.0
20130911,70.0
20130912,62.0
20130913,68.0
20130914,68.0
20130915,64.0
20130916,70.0
20130917,64.0
20130918,66.0
20130919,64.0
20130920,64.0
20130921,64.0
20130922,68.0
20130923,68.0
20130924,66.0
20130925,68.0
20130926,68.0
20130927,68.0
20130928,74.0
20130929,74.0
20130930,72.0
20131001,70.0
20131002,60.0
20131003,62.0
20131004,66.0
20131005,62.0
20131006,58.0
20131007,62.0
20131008,64.0
20131009,60.0
20131010,60.0
20131011,62.0
20131012,62.0
20131013,60.0
20131014,60.0
20131015,58.0
20131016,56.0
20131017,56.0
20131018,54.0
20131019,56.0
20131020,54.0
20131021,54.0
20131022,52.0
20131023,52.0
20131024,52.0
20131025,50.0
20131026,52.0
20131027,60.0
20131028,58.0
20131029,60.0
20131030,58.0
20131101,58.0
20131102,58.0
20131103,52.0
20131104,56.0
20131105,58.0
20131106,50.0
20131107,50.0
20131108,50.0
20131109,48.0
20131110,50.0
20131111,52.0
20131112,50.0
20131113,44.0
20131114,46.0
20131115,46.0
20131116,46.0
20131117,46.0
20131118,46.0
20131119,48.0
20131120,50.0
20131121,52.0
20131122,52.0
20131123,54.0
20131124,56.0
20131125,58.0
20131126,70.0
20131127,70.0
20131128,76.0
20131129,86.0
20131130,94.0
20131201,92.0
20131202,90.0
20131203,90.0
20131204,90.0
20131205,90.0
20131206,86.0
20131207,84.0
20131208,88.0
20131209,90.0
20131210,90.0
20131211,92.0
20131212,92.0
20131213,92.0
20131214,92.0
20131215,92.0
20131216,92.0
20131217,92.0
20131218,92.0
20131219,92.0
20131220,90.0
20131221,90.0
20131222,92.0
20131223,92.0
20131224,90.0
20131225,90.0
20131226,90.0
20131227,90.0
20131228,90.0
20131229,90.0
20131230,90.0
20131231,90.0
20140101,90.0
20140102,90.0
20140103,90.0
20140104,90.0
20140105,88.0
20140106,88.0
20140108,88.0
20140109,88.0
20140110,86.0
20140111,88.0
20140112,86.0
20140113,86.0
20140114,86.0
20140115,86.0
20140116,86.0
20140117,86.0
20140118,86.0
20140119,86.0
20140120,86.0
20140121,90.0
20140123,92.0
20140124,90.0
20140125,92.0
20140126,88.0
20140127,88.0
20140128,90.0
20140129,92.0
20140130,90.0
20140131,92.0
20140201,92.0
20140202,90.0
20140203,92.0
20140204,90.0
20140205,92.0
20140206,92.0
20140207,90.0
20140208,90.0
20140209,90.0
20140210,92.0
20140211,96.0
20140212,96.0
20140213,96.0
20140214,98.0
20140215,98.0
20140216,98.0
20140217,98.0
20140218,98.0
20140219,98.0
20140220,98.0
20140221,98.0
20140222,98.0
20140223,98.0
20140224,98.0
20140225,92.0
20140226,78.0
20140227,80.0
20140228,74.0
20140301,78.0
20140302,60.0
20140303,58.0
20140304,58.0
20140305,64.0
20140306,62.0
20140307,58.0
20140308,62.0
20140309,60.0
20140310,60.0
20140311,60.0
20140312,60.0
20140313,58.0
20140314,58.0
20140315,60.0
20140316,62.0
20140317,58.0
20140318,58.0
20140319,58.0
20140320,62.0
20140321,58.0
20140322,58.0
20140323,58.0
20140324,62.0
20140325,60.0
20140326,58.0
20140327,52.0
20140328,52.0
20140330,52.0
20140331,50.0
20140401,50.0
20140402,48.0
20140403,48.0
20140404,50.0
20140405,56.0
20140406,50.0
20140407,50.0
20140408,48.0
20140409,52.0
20140410,50.0
20140411,54.0
20140412,52.0
20140413,52.0
20140414,50.0
20140415,54.0
20140416,58.0
20140417,54.0
20140418,58.0
20140419,58.0
20140420,56.0
20140421,54.0
20140422,54.0
20140423,54.0
20140424,52.0
20140425,50.0
20140426,50.0
20140427,54.0
20140428,50.0
20140429,54.0
20140430,54.0
20140501,54.0
20140502,52.0
20140503,52.0
20140504,50.0
20140505,50.0
20140506,50.0
20140507,50.0
20140508,54.0
20140509,52.0
20140510,50.0
20140511,48.0
20140512,50.0
20140513,48.0
20140514,42.0
20140515,40.0
20140516,46.0
20140517,46.0
20140518,42.0
20140519,46.0
20140520,42.0
20140521,42.0
20140522,38.0
20140523,38.0
20140524,38.0
20140525,36.0
20140526,38.0
20140527,42.0
20140528,38.0
20140529,34.0
20140530,38.0
20140531,40.0
20140601,38.0
20140602,44.0
20140603,44.0
20140604,46.0
20140605,46.0
20140606,44.0
20140607,36.0
20140608,40.0
20140609,40.0
20140610,44.0
20140611,44.0
20140612,44.0
20140613,50.0
20140614,50.0
20140615,52.0
20140616,52.0
20140617,58.0
20140618,54.0
20140619,56.0
20140620,52.0
20140621,52.0
20140622,56.0
20140623,54.0
20140624,54.0
20140625,54.0
20140626,54.0
20140627,56.0
20140628,60.0
20140629,60.0
20140630,56.0
20140701,56.0
20140702,56.0
20140703,54.0
20140704,54.0
20140705,58.0
20140706,56.0
20140707,58.0
20140708,52.0
20140709,54.0
20140710,52.0
20140711,52.0
20140712,50.0
20140713,50.0
20140714,44.0
20140715,42.0
20140716,46.0
20140717,46.0
20140718,44.0
20140719,44.0
20140720,44.0
20140721,48.0
20140722,52.0
20140723,54.0
20140724,54.0
20140725,52.0
20140726,50.0
20140727,52.0
20140728,48.0
20140729,52.0
20140730,52.0
20140731,52.0
20140801,54.0
20140802,54.0
20140803,52.0
20140804,52.0
20140805,52.0
20140806,56.0
20140807,50.0
20140808,46.0
20140809,50.0
20140810,50.0
20140811,52.0
20140812,46.0
20140813,50.0
20140814,54.0
20140815,52.0
20140816,50.0
20140817,50.0
20140818,48.0
20140819,44.0
20140820,52.0
