,0
20130429,96.0
20130430,96.0
20130501,96.0
20130502,96.0
20130503,92.0
20130504,92.0
20130505,92.0
20130506,92.0
20130507,92.0
20130508,90.0
20130509,90.0
20130510,88.0
20130511,90.0
20130512,90.0
20130513,90.0
20130514,90.0
20130515,90.0
20130516,90.0
20130517,90.0
20130518,90.0
20130519,90.0
20130520,90.0
20130521,90.0
20130522,88.0
20130523,88.0
20130524,88.0
20130525,88.0
20130526,88.0
20130527,90.0
20130528,90.0
20130529,90.0
20130530,90.0
20130531,90.0
20130601,90.0
20130602,90.0
20130603,90.0
20130604,90.0
20130605,90.0
20130606,90.0
20130607,90.0
20130608,90.0
20130609,86.0
20130610,86.0
20130611,86.0
20130612,86.0
20130613,86.0
20130614,86.0
20130615,86.0
20130616,86.0
20130617,86.0
20130618,86.0
20130619,86.0
20130620,84.0
20130621,84.0
20130622,84.0
20130623,84.0
20130624,84.0
20130625,84.0
20130626,84.0
20130627,84.0
20130628,84.0
20130629,84.0
20130630,84.0
20130701,84.0
20130702,84.0
20130703,84.0
20130704,80.0
20130705,80.0
20130706,82.0
20130707,76.0
20130708,76.0
20130709,76.0
20130710,76.0
20130711,76.0
20130712,78.0
20130713,78.0
20130714,78.0
20130715,78.0
20130716,76.0
20130717,76.0
20130718,74.0
20130719,74.0
20130720,74.0
20130721,74.0
20130722,76.0
20130723,74.0
20130724,80.0
20130725,70.0
20130726,70.0
20130727,72.0
20130728,70.0
20130729,70.0
20130730,72.0
20130731,72.0
20130801,72.0
20130802,72.0
20130803,72.0
20130804,72.0
20130805,72.0
20130806,72.0
20130807,72.0
20130808,72.0
20130809,72.0
20130810,72.0
20130811,72.0
20130812,72.0
20130813,70.0
20130814,72.0
20130815,72.0
20130816,78.0
20130817,72.0
20130818,74.0
20130819,74.0
20130820,74.0
20130821,74.0
20130822,74.0
20130823,74.0
20130824,76.0
20130825,74.0
20130826,74.0
20130827,70.0
20130828,70.0
20130829,70.0
20130830,72.0
20130831,72.0
20130901,72.0
20130902,74.0
20130903,74.0
20130904,74.0
20130905,76.0
20130906,76.0
20130907,76.0
20130908,76.0
20130909,76.0
20130910,76.0
20130911,74.0
20130912,74.0
20130913,74.0
20130914,74.0
20130915,74.0
20130916,74.0
20130917,74.0
20130918,74.0
20130919,74.0
20130920,74.0
20130921,74.0
20130922,74.0
20130923,74.0
20130924,74.0
20130925,74.0
20130926,74.0
20130927,74.0
20130928,80.0
20130929,80.0
20130930,80.0
20131001,80.0
20131002,80.0
20131003,82.0
20131004,82.0
20131005,82.0
20131006,82.0
20131007,82.0
20131008,82.0
20131009,82.0
20131010,82.0
20131011,82.0
20131012,82.0
20131013,82.0
20131014,82.0
20131015,82.0
20131016,82.0
20131017,82.0
20131018,82.0
20131019,84.0
20131020,82.0
20131021,82.0
20131022,82.0
20131023,84.0
20131024,82.0
20131025,82.0
20131026,82.0
20131027,82.0
20131028,82.0
20131029,82.0
20131030,82.0
20131101,82.0
20131102,82.0
20131103,78.0
20131104,80.0
20131105,78.0
20131106,76.0
20131107,76.0
20131108,76.0
20131109,76.0
20131110,76.0
20131111,78.0
20131112,76.0
20131113,78.0
20131114,80.0
20131115,80.0
20131116,80.0
20131117,80.0
20131118,80.0
20131119,80.0
20131120,80.0
20131121,80.0
20131122,80.0
20131123,80.0
20131124,80.0
20131125,80.0
20131126,80.0
20131127,78.0
20131128,78.0
20131129,78.0
20131130,76.0
20131201,74.0
20131202,74.0
20131203,74.0
20131204,74.0
20131205,76.0
20131206,76.0
20131207,74.0
20131208,72.0
20131209,70.0
20131210,70.0
20131211,70.0
20131212,70.0
20131213,68.0
20131214,68.0
20131215,64.0
20131216,66.0
20131217,66.0
20131218,66.0
20131219,62.0
20131220,64.0
20131221,60.0
20131222,60.0
20131223,60.0
20131224,60.0
20131225,62.0
20131226,62.0
20131227,62.0
20131228,68.0
20131229,66.0
20131230,68.0
20131231,64.0
20140101,66.0
20140102,68.0
20140103,66.0
20140104,66.0
20140105,66.0
20140106,64.0
20140108,64.0
20140109,64.0
20140110,64.0
20140111,64.0
20140112,64.0
20140113,64.0
20140114,66.0
20140115,64.0
20140116,66.0
20140117,64.0
20140118,68.0
20140119,66.0
20140120,66.0
20140121,66.0
20140123,72.0
20140124,70.0
20140125,72.0
20140126,72.0
20140127,68.0
20140128,72.0
20140129,70.0
20140130,70.0
20140131,76.0
20140201,78.0
20140202,74.0
20140203,76.0
20140204,76.0
20140205,76.0
20140206,72.0
20140207,74.0
20140208,74.0
20140209,78.0
20140210,74.0
20140211,74.0
20140212,76.0
20140213,74.0
20140214,74.0
20140215,76.0
20140216,76.0
20140217,74.0
20140218,72.0
20140219,72.0
20140220,70.0
20140221,70.0
20140222,70.0
20140223,72.0
20140224,68.0
20140225,70.0
20140226,70.0
20140227,66.0
20140228,66.0
20140301,66.0
20140302,68.0
20140303,64.0
20140304,66.0
20140305,66.0
20140306,66.0
20140307,64.0
20140308,66.0
20140309,66.0
20140310,66.0
20140311,68.0
20140312,68.0
20140313,66.0
20140314,66.0
20140315,66.0
20140316,66.0
20140317,66.0
20140318,64.0
20140319,66.0
20140320,68.0
20140321,68.0
20140322,68.0
20140323,68.0
20140324,72.0
20140325,72.0
20140326,68.0
20140327,64.0
20140328,66.0
20140330,66.0
20140331,60.0
20140401,62.0
20140402,50.0
20140403,58.0
20140404,64.0
20140405,66.0
20140406,68.0
20140407,68.0
20140408,76.0
20140409,82.0
20140410,62.0
20140411,68.0
20140412,70.0
20140413,70.0
20140414,60.0
20140415,80.0
20140416,74.0
20140417,66.0
20140418,66.0
20140419,76.0
20140420,66.0
20140421,68.0
20140422,72.0
20140423,64.0
20140424,60.0
20140425,62.0
20140426,60.0
20140427,60.0
20140428,64.0
20140429,72.0
20140430,70.0
20140501,66.0
20140502,62.0
20140503,62.0
20140504,58.0
20140505,56.0
20140506,60.0
20140507,54.0
20140508,82.0
20140509,92.0
20140510,84.0
20140511,68.0
20140512,84.0
20140513,74.0
20140514,56.0
20140515,58.0
20140516,72.0
20140517,68.0
20140518,84.0
20140519,66.0
20140520,42.0
20140521,38.0
20140522,44.0
20140523,60.0
20140524,64.0
20140525,42.0
20140526,58.0
20140527,58.0
20140528,64.0
20140529,62.0
20140530,48.0
20140531,58.0
20140601,34.0
20140602,48.0
20140603,54.0
20140604,44.0
20140605,40.0
20140606,52.0
20140607,42.0
20140608,58.0
20140609,52.0
20140610,44.0
20140611,52.0
20140612,38.0
20140613,36.0
20140614,36.0
20140615,36.0
20140616,46.0
20140617,58.0
20140618,52.0
20140619,56.0
20140620,60.0
20140621,60.0
20140622,52.0
20140623,56.0
20140624,54.0
20140625,54.0
20140626,72.0
20140627,66.0
20140628,68.0
20140629,62.0
20140630,60.0
20140701,62.0
20140702,74.0
20140703,70.0
20140704,62.0
20140705,72.0
20140706,68.0
20140707,60.0
20140708,62.0
20140709,94.0
20140710,78.0
20140711,56.0
20140712,66.0
20140713,72.0
20140714,62.0
20140715,60.0
20140716,56.0
20140717,54.0
20140718,50.0
20140719,52.0
20140720,60.0
20140721,54.0
20140722,54.0
20140723,58.0
20140724,64.0
20140725,56.0
20140726,50.0
20140727,74.0
20140728,48.0
20140729,60.0
20140730,64.0
20140731,44.0
20140801,58.0
20140802,56.0
20140803,64.0
20140804,64.0
20140805,64.0
20140806,54.0
20140807,50.0
20140808,46.0
20140809,68.0
20140810,62.0
20140811,56.0
20140812,60.0
20140813,54.0
20140814,40.0
20140815,36.0
20140816,40.0
20140817,44.0
20140818,52.0
20140819,36.0
20140820,44.0
20140821,40.0
20140822,40.0
20140823,50.0
20140824,48.0
20140825,64.0
20140826,56.0
20140827,50.0
20140828,54.0
20140829,46.0
20140830,70.0
20140831,46.0
20140901,52.0
20140902,50.0
20140903,56.0
20140904,54.0
20140905,58.0
20140906,58.0
20140907,58.0
20140908,46.0
20140909,54.0
20140910,76.0
20140911,70.0
20140912,72.0
20140913,78.0
20140914,74.0
20140915,72.0
20140916,70.0
20140917,70.0
20140918,64.0
20140919,48.0
20140920,58.0
20140921,60.0
20140922,54.0
20140923,62.0
20140924,54.0
20140925,66.0
20140926,66.0
20140927,66.0
20140928,76.0
20140929,60.0
