,Rank,Symbol,Market Cap,Volume,Price,Circulating,1h Variation,24h Variation,7d Variation
0,1,BTC,3285800937.07,30612104.0,238.23,13792600.0,1.73,4.75,-10.3
1,2,XRP,423474277.04,1482758.25,0.01367,30978075200.0,0.56,-3.43,-13.48
2,3,LTC,67784464.47,1955365.5,1.8762,36129054.0,4.05,3.23,-7.93
3,4,BTS,26240391.26,111576.66,0.0105,2497973773.0,-0.08,0.71,-10.77
4,5,XLM,15015592.5,28422.8,0.00418,3592407750.0,1.77,0.02,-12.23
5,6,DOGE,14801510.14,186183.73,0.0001512,97911441584.0,3.3,4.65,-6.19
6,7,MAID,14740227.51,13255.93,0.03257,452552412.0,2.98,4.54,-5.56
7,8,XPY,13578675.61,314221.22,1.0713,12674692.0,0.85,-28.18,-57.03
8,9,NXT,12391982.94,22920.32,0.01239,999997096.0,3.82,4.18,-13.19
9,10,DASH,9843768.37,154510.97,1.9324,5094081.0,1.95,2.99,7.11
10,11,PPC,7744100.15,24037.85,0.3511,22054731.0,2.28,3.78,-19.2
11,12,NMC,5442096.05,13636.6,0.5029,10822400.0,3.25,3.72,-12.52
12,13,XCP,5243958.03,6549.5,1.9816,2646359.0,2.88,0.02,-10.24
13,14,NSR,4776233.58,4800.27,0.007852,608280244.0,3.14,-4.5,-5.85
14,15,BANX,4636973.14,2881.91,1.2877,3600882.0,2.84,4.83,-10.21
15,16,YBC,3015537.86,29367.38,1.0052,3000000.0,1.86,4.35,-13.54
16,17,USNBT,2253364.32,299518.84,1.0032,2246134.0,0.17,-1.29,0.35
17,18,UNITY,2233536.57,1052.47,2.737,816061.0,1.7,1.97,-21.57
18,19,XMR,1822558.27,16725.37,0.3012,6050147.0,3.05,-0.21,-2.44
19,20,BCN,1652276.03,2121.08,9.77e-06,169086459251.0,2.7,1.71,-12.8
20,21,FC2,1650847.85,758.39,0.01647,100206032.0,3.53,-11.07,-44.13
21,22,GEMZ,1632415.19,831.09,0.01852,88135367.0,2.27,5.38,-23.63
22,23,BLK,1513780.3,5737.73,0.02024,74775457.0,1.37,5.05,-6.25
23,24,BTCD,1328415.76,9166.77,1.1053,1201874.0,-3.05,6.47,8.75
24,25,ETC,1072600.13,734.85,1.0726,1000000.0,3.38,4.78,8.6
25,26,SJCX,1010717.75,929.07,0.02438,41464404.0,1.43,0.64,-6.86
26,27,XTC,953421.56,44475.87,0.009534,100000000.0,-1.27,-0.88,1.3
27,28,NOTE,944695.48,1857.82,0.009829,96108851.0,3.46,5.17,-7.76
28,29,BITUSD,786840.83,4206.97,1.0046,783200.0,-0.25,-0.02,0.04
29,30,MONA,709302.68,3013.51,0.04371,16228700.0,2.44,1.46,-32.29
30,31,CLAM,666900.91,7641.77,1.3143,507421.0,2.41,3.81,-7.32
31,32,RDD,594893.03,2814.21,2.172e-05,27386650347.0,4.2,-4.09,-26.38
32,33,UNO,590666.04,911.54,3.0529,193475.0,2.7,5.04,13.86
33,34,NXTV,557640.02,1307.67,0.5576,1000000.0,-5.91,-6.05,-33.95
34,35,XDN,512471.91,8009.29,7.519e-05,6815294033.0,2.35,9.32,2.47
35,36,NVC,447908.01,1170.97,0.4877,918493.0,3.09,1.98,-24.86
36,37,BURST,390140.48,58695.1,0.0007014,556266728.0,8.16,59.47,69.74
37,38,GSX,384740.42,5327.03,1.1466,335550.0,3.7,12.05,
38,39,MEC,374848.93,1628.92,0.01375,27264250.0,2.68,0.71,-8.19
39,40,WDC,360027.77,4436.64,0.004922,73145883.0,2.0,6.44,-14.05
40,41,XPM,336857.79,3347.78,0.03826,8804527.0,3.66,-9.14,-11.04
41,42,SDC,336056.76,5301.26,0.05203,6459513.0,-5.35,2.37,-6.19
42,43,NAV,335569.96,2720.14,0.005796,57894303.0,4.11,-15.88,16.19
43,44,DGB,331622.38,4305.35,9.544e-05,3474725802.0,2.04,8.22,40.64
44,45,FTC,329671.02,3135.28,0.004707,70037200.0,4.77,3.62,-33.45
45,46,NLG,324433.33,1067.12,0.001557,208400701.0,14.32,19.97,19.12
46,47,VIA,292386.3,694.2,0.0222,13168665.0,3.09,4.72,-26.67
47,48,NODE,290932.19,18187.17,0.0002909,1000000000.0,-1.0,45.46,76.56
48,49,JLH,281298.4,763.78,0.02813,10000000.0,3.49,0.49,-34.25
49,50,POT,276345.77,3719.34,0.001521,181711380.0,0.13,2.77,-4.88
50,51,ARCH,265387.36,1332.94,0.01631,16271026.0,-3.63,2.1,6.25
51,52,VRC,249224.47,1153.68,0.009243,26964524.0,1.9,3.11,-16.52
52,53,HYPER,245522.63,2830.1,0.06418,3825298.0,11.2,2.48,-12.99
53,54,UNB,225328.08,28942.61,0.103,2187450.0,1.03,-10.87,588.73
54,55,URO,224488.85,924.76,0.2192,1024307.0,3.04,1.36,-8.61
55,56,COVAL,221223.83,820.31,0.0005531,400000000.0,2.39,-1.68,68.45
56,57,ANC,216668.28,4693.57,0.1481,1462764.0,1.47,3.91,-12.53
57,58,MAZA,205695.96,1436.32,0.0003193,644285100.0,2.16,-9.38,-41.62
58,59,SYS,186005.93,976.91,0.0004667,398582313.0,3.04,12.62,-5.35
59,60,CANN,183204.03,803.44,0.002466,74285857.0,4.87,2.4,-7.14
60,61,XST,149912.61,4760.12,0.006959,21543170.0,3.59,-2.5,-17.82
61,62,VTC,146140.54,1747.42,0.01226,11918200.0,2.46,-5.31,11.6
62,63,SLR,137526.76,839.72,0.004092,33606835.0,-0.17,-6.7,-11.09
63,64,BITS,134560.18,821.82,0.03351,4015648.0,2.88,25.19,-0.04
