,Rank,Simbolo,Market Cap,Volume,Prezzo,In Circolo (In valuta sua),Variazione 1h,Variazione 24h,Variazione 7d
0,1,BTC,1045371087640.23,68145460025.92,56099.52,18634225.0,0.92,0.38,19.09
1,2,ETH,220274162486.17,34696091102.23,1919.53,114753978.0,0.99,-2.07,5.81
2,3,BNB,39553242902.31,9680520705.92,255.95,154532785.0,4.97,-23.05,91.79
3,4,DOT,35712761350.44,6056666197.8,39.24,910060648.0,-1.11,12.79,40.07
4,5,ADA,34938012153.68,11454890463.42,1.123,31112484646.0,-2.11,21.05,23.99
5,6,USDT,34125152334.69,137486320907.72,1.0001,34122835415.0,0.0,-0.01,-0.08
6,7,XRP,23497139197.04,7892199926.39,0.5175,45404028640.0,2.1,-8.73,-17.72
7,8,LTC,15143671929.96,8208699024.51,227.62,66530529.0,0.71,-3.83,0.62
8,9,LINK,13934186074.47,3095945275.82,34.11,408509556.0,0.22,-1.74,0.02
9,10,BCH,12729826473.75,6495825727.11,682.18,18660444.0,1.39,-5.36,2.79
10,11,XLM,10962064695.84,2152043634.71,0.488,22462956737.0,0.23,-4.98,-12.85
11,12,UNI,8785103362.32,4080070578.35,29.14,301475199.0,1.42,45.16,33.63
12,13,USDC,7576682025.84,2471881935.84,0.9999,7577803034.0,0.0,-0.02,0.0
13,14,DOGE,6985943091.26,3175468554.07,0.05438,128454754932.0,1.19,-1.37,-18.16
14,15,WBTC,6905051988.57,288211521.45,55937.4,123442.0,0.97,0.32,18.7
15,16,AAVE,5482898402.56,1512350119.37,442.02,12404077.0,0.89,4.68,-10.62
16,17,XEM,4579197558.21,326594956.45,0.5088,8999999999.0,2.09,-2.96,27.87
17,18,EOS,4630320970.88,4465280621.38,4.8704,950714366.0,1.94,-7.1,-11.33
18,19,ATOM,4580900143.67,1273167406.62,21.76,210551050.0,-0.13,-4.87,7.44
19,20,XMR,4568994495.97,991879039.58,256.04,17844649.0,0.27,-9.68,6.44
20,21,BSV,4264457536.79,1583584356.87,228.56,18658270.0,0.9,-6.14,-13.39
21,22,TRX,4159178480.31,3088402641.85,0.05804,71659657369.0,1.47,-4.9,-2.64
22,23,HT,3919702587.07,2950178806.86,20.98,186866518.0,0.29,-19.04,67.41
23,24,MIOTA,3844572224.77,255013927.79,1.3832,2779530283.0,1.51,-6.94,5.66
24,25,THETA,3686204389.64,186856959.15,3.6862,1000000000.0,2.79,-0.72,10.33
25,26,XTZ,3540868207.92,725265605.77,4.6554,760595826.0,0.98,-6.37,-12.65
26,27,VET,3452376898.01,1104770855.3,0.05368,64315576989.0,-0.01,0.12,-1.87
27,28,CRO,3232922389.69,219029249.95,0.1388,23294063926.0,-0.2,0.84,51.62
28,29,NEO,3107752192.86,1389656551.22,44.06,70538831.0,0.31,-8.02,4.12
29,30,FTT,2978168003.91,186362349.48,31.57,94346958.0,1.74,-8.71,52.52
30,31,DASH,2982038608.46,2252686282.89,298.69,9983837.0,1.45,-8.17,11.93
31,32,GRT,2875257573.37,1189122489.32,2.3082,1245666867.0,1.83,6.54,-1.63
32,33,AVAX,2787727124.83,468606771.3,36.23,76937055.0,3.01,-6.5,-17.25
33,34,SNX,2668804489.87,379795219.83,23.24,114841533.0,0.84,4.26,-12.14
34,35,SOL,2619699067.57,140264809.98,10.0,261900137.0,-0.68,-12.76,14.55
35,36,MKR,2594903042.32,272668190.21,2606.13,995692.0,0.89,1.51,0.36
36,37,LUNA,2586718893.14,195368387.14,5.9643,433697037.0,0.71,-5.57,6.78
37,38,ALGO,2410314585.57,801624384.65,1.314,1834337943.0,0.41,-4.4,-21.3
38,39,DAI,2360117726.55,409523225.94,1.0007,2358521781.0,0.01,-0.05,-0.05
39,40,EGLD,2376129965.8,236418539.51,139.87,16988448.0,0.48,-0.12,-12.74
40,41,FIL,2323410896.03,1610180337.41,43.27,53701588.0,0.57,0.29,3.77
41,42,SUSHI,2345143020.79,1910186130.83,18.43,127244443.0,5.37,26.8,15.23
42,43,BUSD,2153246775.95,6560584682.81,1.0,2153246776.0,-0.01,-0.05,-0.02
43,44,COMP,2100847607.13,396109768.76,454.26,4624765.0,0.57,0.63,-11.45
44,45,DCR,1882585539.93,103176783.36,149.12,12624992.0,1.79,3.25,31.16
45,46,KSM,1900660546.81,346913410.44,224.4,8470098.0,1.96,-0.43,38.69
46,47,ZEC,1835356296.73,1224245822.97,164.22,11175981.0,1.34,-8.98,-6.81
47,48,RVN,1864256907.31,3244344057.59,0.228,8177310000.0,-1.0,56.64,294.43
48,49,CAKE,1736569452.32,180892783.33,14.41,120528680.0,8.54,-23.85,102.95
49,50,ETC,1756953831.67,2589293777.77,15.11,116313299.0,1.44,-1.76,-8.96
50,51,YFI,1557704599.17,682175513.3,42519.82,36635.0,0.68,-5.46,-9.89
51,52,LEO,1521827399.44,7885982.41,1.5226,999498893.0,-0.33,-2.36,9.34
52,53,VGX,1534358970.99,64474788.48,6.9023,222295208.0,10.05,17.99,73.42
53,54,UMA,1510523591.18,94344904.17,27.0,55954969.0,1.73,4.79,-8.85
54,55,ZIL,1489707547.1,319314529.32,0.1358,10972284572.0,1.89,-8.19,-8.13
55,56,BTT,1498588258.77,957323250.44,0.001514,989983545291.0,2.28,5.22,22.43
56,57,REN,1405709922.07,633889438.11,1.4123,995363051.0,2.1,-18.34,41.96
57,58,CEL,1332519801.16,13646544.06,5.5786,238863520.0,-0.19,-3.21,-2.67
58,59,NEXO,1328030157.23,22282716.43,2.3715,560000011.0,0.89,4.99,40.79
59,60,WAVES,1287637500.25,169561037.81,12.34,104385142.0,2.23,-2.22,10.02
60,61,RUNE,1223431426.05,188225580.25,5.1345,238275761.0,6.23,7.51,16.87
61,62,ICX,1217967995.2,222445249.61,2.0639,590118799.0,-0.02,-9.79,27.43
62,63,NEAR,1176762832.39,104327571.97,4.0238,292453718.0,2.31,-8.17,-16.33
63,64,ZRX,1153646437.08,367304156.72,1.5376,750306451.0,1.22,-1.09,-18.37
64,65,DGB,1126355757.49,145657705.97,0.08014,14055544004.0,0.7,-4.05,25.54
65,66,REV,1030369434.76,4952654.86,0.01211,85061485690.0,-0.19,-0.16,-0.11
66,67,HBAR,1020877906.58,120337507.66,0.1423,7174647694.0,1.42,-6.93,3.38
67,68,RENBTC,1004831665.85,26223172.85,55861.89,17988.0,0.96,0.28,18.44
68,69,ONT,992513514.27,724050089.15,1.2285,807932992.0,0.84,-2.78,-4.97
69,70,CELO,943287940.51,41191301.48,5.1141,184447717.0,0.16,-3.72,11.02
70,71,NANO,916658827.45,97856320.29,6.8793,133248297.0,0.42,-4.86,5.82
71,72,OMG,877084180.78,869974623.25,6.2539,140245398.0,-0.08,-4.13,-18.31
72,73,BAT,863015860.81,381562352.36,0.58,1488072313.0,0.82,-5.33,-6.15
73,74,LRC,864227480.57,88487699.92,0.709,1218983720.0,0.2,-3.76,-13.94
74,75,OKB,823206420.61,1038921607.57,13.72,60000000.0,1.04,-20.28,53.25
75,76,BTCB,799595935.52,103684894.14,55995.06,14280.0,2.4,0.92,18.98
76,77,CHSB,785934344.61,13268464.2,0.8369,939100208.0,-0.22,7.27,-1.71
