,0
0,USDT
1,USDC
2,USDe
3,DAI
4,FDUSD
5,USDD
6,TUSD
7,PYUSD
8,USD0
9,FRAX
10,USDY
11,USDJ
12,USDB
13,USTC
14,EURS
15,USDP
16,EURC
17,USDX
18,BUSD
19,GUSD
20,LUSD
21,vBUSD
22,AEUR
23,USDL
24,SBD
25,XSGD
26,EURt
27,EURI
28,CUSD
29,USDG
30,RSV
31,ZUSD
32,IDRT
33,USDV
34,EDLC
35,GYEN
36,BIDR
37,SUSD
38,MNEE
39,HUSD
40,VCHF
41,FEI
42,vDAI
43,OUSD
44,CEUR
45,VEUR
46,VAI
47,MKUSD
48,DJED
49,USDs
50,ESD
51,IDRX
52,BAC
53,AUSD
54,BUCK
55,USD+
56,SDAI
57,GHO
58,DOLA
59,WUSD
60,USDP
61,USD+
62,FXD
63,USD+
64,GYD
65,xDAI
66,lisUSD
67,MIM
68,USDZ
69,XUSD
70,UXD
71,MIMATIC
72,BBUSD
73,BRZ
74,EURA
75,XIDR
76,JPYC
77,mCUSD
78,IST
79,EURR
80,USDH
81,AMAPT
82,DUSD
83,USX
84,EURQ
85,USDQ
86,ZARP
87,WANUSDT
88,USDX
89,mCEUR
90,TRYB
91,USD+
92,MXNt
93,DAI+
94,MTR
95,ONC
96,MUSD
97,YUSD
98,JPYC
99,PAR
